week,away_team,home_team,distance_miles
1,DET,KC,644.6142849816657
1,CAR,ATL,226.50846117988175
1,HOU,BAL,1251.777194768828
1,CIN,CLE,222.43579732997617
1,JAX,IND,698.5101817196444
1,TB,MIN,1316.5677876634281
1,TEN,NO,468.6205317073006
1,SF,PIT,2265.555890457308
1,ARI,WAS,1981.7807639884516
1,GB,CHI,182.94125091476957
1,LV,DEN,605.9925575019631
1,MIA,LAC,2339.4472425817785
1,PHI,NE,251.61952554749988
1,DAL,NYG,1370.571738469771
1,BUF,NYJ,284.42942049835835
2,MIN,PHI,985.2465079743012
2,GB,ATL,767.4622742750827
2,LV,BUF,1975.5631020692633
2,BAL,CIN,424.105579675839
2,SEA,DET,1938.3600813132723
2,IND,HOU,865.2329423628775
2,KC,JAX,950.2518799768185
2,CHI,TB,1003.4888124155437
2,LAC,TEN,1780.4676738694939
2,NYG,ARI,2139.719647369009
2,NYJ,DAL,1370.571738469771
2,WAS,DEN,1492.8025366311317
2,MIA,NE,1235.084452770988
2,NO,CAR,649.1262185409876
2,CLE,PIT,115.0135424528333
3,NYG,SF,2565.5977329272664
3,IND,BAL,510.79939549601653
3,TEN,CLE,458.98811865826735
3,ATL,DET,596.4215094931143
3,NO,GB,1010.5371353392829
3,HOU,JAX,822.2735051110055
3,DEN,MIA,1726.310022607362
3,LAC,MIN,1523.6879084601771
3,NE,NYJ,170.75409316949222
3,BUF,WAS,290.998934471954
3,CAR,SEA,2285.5791437432536
3,DAL,ARI,886.4050762624297
3,CHI,KC,413.04443513954726
3,PIT,LV,1919.7519755254818
3,PHI,TB,926.3593920892195
4,DET,GB,291.7559344215644
4,ATL,JAX,284.81875564807046
4,MIA,BUF,1182.7418088317013
4,MIN,CAR,939.0166191845793
4,DEN,CHI,920.4564071159655
4,BAL,CLE,308.3229537944291
4,PIT,HOU,1137.4264566092515
4,TB,NO,481.24941776871407
4,WAS,PHI,123.39818530318567
4,CIN,TEN,237.92439659348594
4,LV,LAC,228.50832407362068
4,NE,DAL,1536.2265337411793
4,ARI,SF,653.8141400557017
4,KC,NYJ,1091.3451980952725
4,SEA,NYG,2400.094248811771
5,CHI,WAS,594.7485558573759
5,JAX,BUF,879.1844460500847
5,HOU,ATL,701.9822804485399
5,CAR,DET,504.22250034582066
5,TEN,IND,251.00124990585417
5,NYG,MIA,1096.166173604148
5,NO,NE,1340.143174284516
5,BAL,PIT,196.60172271238733
5,CIN,ARI,1580.6964748805244
5,NYJ,DEN,1625.6485678540441
5,KC,MIN,411.2703119416224
5,DAL,SF,1483.835838829427
5,GB,LV,1534.5344457890212
6,DEN,KC,558.5348535876822
6,BAL,TEN,596.9341518129692
6,WAS,ATL,542.5172983952912
6,MIN,CHI,355.07348387153405
6,SEA,CIN,1971.4649852322493
6,SF,CLE,2167.28763156715
6,NO,HOU,318.3542854415304
6,IND,JAX,698.5101817196444
6,CAR,MIA,653.1893530563841
6,NE,LV,2365.996358231526
6,PHI,NYJ,82.85552831922418
6,DET,TB,991.9383038207155
6,NYG,BUF,284.42942049835835
6,DAL,LAC,1240.3805787221645
7,JAX,NO,504.408343634451
7,DET,BAL,397.07441955584665
7,LV,CHI,1524.4742309417666
7,CLE,IND,263.2444822823829
7,BUF,NE,392.6849509909291
7,WAS,NYG,205.10666197029028
7,ATL,TB,415.5801648314684
7,ARI,SEA,1113.9749420068938
7,GB,DEN,930.2593572286345
7,LAC,KC,1357.031983881056
7,MIA,PHI,1020.208240613042
7,SF,MIN,1584.8483972732927
8,TB,BUF,1049.0336266211818
8,HOU,CAR,926.9557352451599
8,MIN,GB,260.3690684688138
8,NO,IND,712.1298911908312
8,NE,MIA,1235.084452770988
8,NYJ,NYG,0.0
8,JAX,PIT,703.1068927213362
8,ATL,TEN,214.78305051907284
8,PHI,WAS,123.39818530318567
8,CLE,SEA,2025.8500507125743
8,BAL,ARI,2004.6950371020212
8,KC,DEN,558.5348535876822
8,CIN,SF,2043.519286175801
8,CHI,LAC,1745.7680630496673
8,LV,DET,1761.7796992941487
9,TEN,PIT,472.06533478115296
9,MIA,KC,1242.3520544398004
9,MIN,ATL,907.5596952753003
9,SEA,BAL,2334.0088098157994
9,ARI,CLE,1749.0615942245797
9,TB,HOU,792.3030107895348
9,WAS,NE,374.96723224922596
9,CHI,NO,833.5447325920787
9,IND,CAR,428.051544682271
